date(UTC),requests,impressions,revenue($)
20191101,94548100,63999,31.632
20191102,98863860,65114,31.412
20191103,101242960,88483,41.171
20191104,97580980,209143,82.660
20191105,95588800,179573,76.976
sum,487824700,606312,263.852
