date(UTC),impressions,spends($)
20191101,25108,7.235
20191102,23913,6.104
20191103,1454,0.363
20191104,10608,3.158
20191105,10797,3.315
20191106,14371,4.659
20191107,10458,3.812
20191108,17224,5.598
20191109,20099,7.433
20191110,12213,4.540
20191111,8930,3.118
