date(UTC),requests,impressions,revenue($)
20191101,94548100,63999,31.632
20191102,98863860,65114,31.412
20191103,101242960,88483,41.171
20191104,97580980,209143,82.660
20191105,95588800,179573,76.976
20191106,95399340,190513,82.332
20191107,98216780,116483,50.050
20191108,98809320,169071,64.872
20191109,100463340,164167,61.944
20191110,103518220,163278,61.943
20191111,100183180,201186,67.694
20191112,99036320,186034,65.053
sum,1183451200,1797044,717.740
